poiid,like,user,userhref,star,haspic,isGold,content,time
5812,1,远射帮帮主💋James💋,/u/57655609.html,3,True,False,今天上午我们慕名来到了武大观赏樱花，可是现在樱花季已经进入尾声了，樱花大道已不再是淡粉色的海洋了。不过这里历史悠久的老牌名校，早在清朝末期就创立了，当时的校长是维新派代表张之洞，所以文化底蕴非常深厚。再说这里的建筑，都是经历过历史的沧桑的，所以他们看起来都很有年代感。老图书馆、老斋舍、入口牌坊，都是校区的代表建筑，他们能带你穿越到民国时期。尤其是老斋舍，简直就是学生们的福音，每到樱花盛开的时候，这里就被淡粉色重重包裹，因此这里又称“樱花城堡”。这里不仅有古建筑，还有很新潮的现代建筑，如万林艺术博物馆，他是半悬空的建筑，就像在科幻片里看见的一样。总之这里郁郁葱葱，就像绿色的世界，是个天然的大氧吧。因此，今天在这里参观，虽没有看到樱花，却没有留下任何遗憾。,2017-04-04 09:56:14
5812,,天上大风,/u/81910857.html,5,True,False,由于樱花节造势武汉大学如今已经成为了武汉市乃至湖北省重要的旅游景点，你说你来武汉不来武大实在是有些遗憾，无论是武汉大学的自然环境（珞珈山）还是建筑群体（老斋舍）都是极好的，兼顾自然与人文。如果你不是冲着樱花而去，倒是建议找个寻常假期，避开人潮，定能十分惬意地徜徉其中,2017-04-01 11:44:29
5812,2,蒙檬萌,/u/65119906.html,4,True,False,很久之前就与好友相约好了要来武汉赴一场🌸之约，今年终于实现了。武汉的三月对于一个广东人来说真的是冷的要命，穿着鼓鼓的来到武大的校园还是觉得湿冷湿冷，由于来的这天天气并不怎么好，下起了蒙蒙小雨，因此也没有在武大的校园逗留很久，只是沿着樱花道饱了一下眼福，第一次看🌸，内心很激动，真的很美美，武大的建筑也很有人文气息，我想我一定会在未来某一天，选个晴朗的天再来一次武大，慢慢欣赏它的美。 p.s：在樱花道上一路上走来听到百分之九十的人都在说着我熟悉的粤语，感觉自己穿越了。,2017-03-26 12:55:22
5812,,勺,/u/74719971.html,5,True,False,三月末雨天的樱花不是那么绚烂，但是特别的清新。来之前关注了武汉大学的公众号，取得了预约，由于下雨人也不是很多，所以在樱花大道上逛了两个来回。最后不得不恋恋不舍的离开。武汉大学不只是樱花才是风景线，还有很多建筑也是有些历史了，很值得一去。,2017-03-24 17:24:00
5812,1,晓月清江,/u/38227370.html,4,True,False,"原本没打算来武汉，只因临行前从电视上获悉武汉大学樱花盛开，而我又对樱花毫无印象，才临时决定改变行程在武汉停留一站。 武汉大学的确很大，我可能是错过了最佳站点，出了地铁转个弯进入武大校园，东张西望一路打听，在校园里逛荡了半个小时，才从另一个门走出，来到写有“国立武汉大学”的正门前。     大门前挤满了熙熙攘攘的人群，高大简洁的门楼前一字排开几个鲜红的伞棚，棚上贴着凭票入口的标识，有师生自愿者在伞棚下收验门票。不远处有一溜临时搭起的棚子，下面摆了一长排桌椅，有自愿者在那儿售卖20元一张的门票，买票的游人络绎不绝。 真是开了眼了，感觉武汉大学真牛！ 没啥好说的，我毫不犹豫地掏钱买了门票，刚过了检票口，就听到身后的那个人被拦住了，“你的票是假的！”检票员说。 好家伙！看来这每天的客流量一定很大，竟然有人为此造假！  进了大门随人流走了好长一段路，才来到观赏樱花的景区：樱花大道。 此时的樱花大道确切的说，应该叫做市场大道。摩肩接踵、喧声笑语、到处都是拥挤拍照的游人。那些高大的樱花树木然地绽放着细白的樱花，全然失去了想象中那份娴静与优雅。而放眼望去，樱花大道一侧的古典建筑，在雪白的樱花衬托下，的确显得格外自然古朴，还颇有几分肃穆。 我忽然非常非常想念我曾经的青年点，想念那满沟满坎、漫山遍野的山梨花，那片浓郁芬芳、如云似雪的洁白美丽，就那么安静地怒放在深山里，盛开在我悠远的记忆里...",2017-03-09 10:35:25
5812,1,梦旅人,/u/40191221.html,4,True,False,3月2号去武汉，武汉街道上的樱花都开放了，唯独学校的樱花还没开，失望。学校有很多大门，不知道正门叫什么，坐公交到的也不是正门。学校很大，到处都是高大的树木，中午在学校餐厅吃的饭，由于体力不支，就随便逛了逛。最后，也只能感叹一句，别人家的大学！,2017-03-04 14:49:27
5812,1,清风1383367,/u/17487179.html,4,True,False,武汉大学开放的大门，宽敞的大道，蜿蜒曲折的山路，山顶之上的老图书馆，老行政楼俯视着操场上运动的健儿，樱花大道旁的学生宿舍楼，散布在山边树林里的教学楼，山顶上耸立着值得尊重的开创先辈、树林深处科学的先驱默默注视着武大的发展。,2017-02-13 08:28:02
5812,,揪揪妹儿,/u/83594924.html,4,True,False,武汉大学被安排在第二天大半天的行程中，花整个上午悠闲的漫步武大，买一份手绘武大，中午再在这里感受大学时光的食堂。之前对武大充有幻想，当真没有失望。被誉为”中国最美大学之一“的武大，保留完好的民国建筑，理工楼、珞珈山、老图书馆、校门牌坊，老斋舍等。老斋舍是拥有历史感的住宿区，却是整个校园快门不断的地方，厚重沉稳灰色为主调，与深棕色橱窗搭配整齐、庄重，朴实中透露出魄力，不失华丽的欢喜之情。老斋舍娄底就是樱顶，因为在维修中未能上去，也没有俯瞰到整个武大。老斋舍旁边就是樱花大道，樱花盛开时，这条道路真实绝美无比。武汉大学老图书馆也是标志性建筑，它位于珞珈山顶，是武大的至高点。行政楼也是武大的坐标建筑，典型的罗马建筑，将中西完美融合。武大之美，在于建筑。美，是一处轮廓的精细雕刻，美是一座建筑的宏伟壮观，美是一所校园从内到外自然而然散发的历史厚重感。,2017-02-10 16:14:13
5812,,清汤面mm,/u/5674612.html,5,True,False,没有樱花的季节，我们来到武汉大学，还是有点小遗憾的。 不过据出租车司机说，假如樱花开放的时节来，就算能挤得进来，恐怕也只有人看人的份儿了。这样想想心理就莫名地平衡了 漫步在樱花大道上，发现老斋舍经过整修刚刚重新开放不久。老斋舍、老图书馆的建筑十分特色，其浑厚的历史更给人以沧桑厚重之感。  从正门进的武大，工学部西北门出来，直面武汉东湖。 冬季的东湖边行人车辆稀少，树木萧瑟，湖面平静。远离了喧嚣，一切仿佛静止。,2017-02-09 00:35:10
5812,,HuangW101,/u/17714034.html,2,True,False,"的士司机不肯载我们进校。从南校门走了二十分钟，才到老图书馆。 民国时期的建筑，完整，青色琉璃瓦闪耀。为传统建筑的用心保育利用鼓掌。 没有樱花的武大，游人还不少。 嗯嗯，感觉路边蛮多杂物垃圾的。呵呵。",2017-02-03 18:42:55
5812,,浔樱,/u/77716664.html,5,True,False,到了武大，校门口有几个同学在收门票，20元，然后送了一张日历，上面画着武大樱花，还挺好看的。在校园里瞎走，走着走着看到樱花了，有樱花的地方也是人最多的地方。看着看着突然下雨了，樱花花瓣被雨打落，一瞬间落英缤纷，好美~拍不出的美,2017-01-21 02:06:02
5812,1,黑猫龙太子,/u/87005677.html,4,True,False,2016年9月去了武汉大学，校园很大，而且植被覆盖面积也挺高，去的时候刚好赶上新生军训，看着他们站军姿的样子真的好想再重新高考一次，学习里面有艺术展览馆，摆放一些学生和校友的获奖作品，干净安静，气氛好，中午在梅园（餐厅吃的饭）热干面真的超级便宜！其实我并不太喜欢吃但是来到武汉还是要再尝一下的，菜类价格都和其他大学差不多的价格，这个需要刷卡，而旁边的教职工餐厅是支持付款的，里面的菜肴也是很丰富。,2017-01-20 17:47:01
5812,1,餃子,/u/19209439.html,5,True,False,万林的顶楼有个咖啡厅，有非常大的露台，速度快的话可以在万林的顶楼露台喝杯咖啡，晒晒太阳。从万林出来差不多中午时分，正好可以右后转去梅园餐厅吃午饭。学生餐厅不收现金，如果不幸借不到学生卡可以去另一面有呷哺、肯德基等等。午餐后一路向北走樱花大道，过宋卿体育馆，到老斋舍和樱顶拍拍照片。春天的樱花大道应该是武大的颜值担当了。走下图书馆的大坡向南可到体育场和行政楼，过了行政楼再向北就可以直达凌波门了。,2017-01-09 09:54:35
5812,,tyler韬,/u/40446300.html,4,True,False,武汉大学一直因为成排的樱花树而闻名于外，而我们这次则是错了峰，去的时候离樱花季还差一个月。这样也倒有好处，让我们更能够着眼于这个校园本身。武大里面的路，坡挺多，走起来还是有点累的。其实除了樱花，这边的建筑、树木也都是蛮不错的，走在里面会有一种心静下来的感觉，挺舒服的。,2017-04-07 21:59:54
