uid,poi_href,poi_id,name,star,content,datetime,description,pics,tel,site,time,traffic,ticket,opentime,location,insides
17563478,/poi/6630975.html,6630975,江汉关大楼,5,很雄伟很壮观，历史的沉淀更觉得古色古香,2015-08-15 06:48:47,,,,,,,,,,
17563478,/poi/9207762.html,9207762,城市便捷酒店（武汉黄鹤楼司门口店）,5,我喜欢里面的帅哥，环境不错～下次再来武汉，还住这里～,2015-08-15 06:43:03,,,,,,,,,,
17563478,/poi/31606.html,31606,徐嫂糊汤粉,5,味道还不错，第一次早晨吃汤粉，很新鲜。,2015-08-15 06:42:25,,,,,,,,,,
74280630,/poi/5812.html,5812,武汉大学Wuhan University,5,人人都知道武大的樱花是极美的，但就这么不巧，我们到达武汉的前两天下过一场大雨，樱花散了一地，没有看成很是遗憾。但是武大的人文气息，优美的校园风光还是很值得一去的。,2014-11-23 14:13:52,武汉大学前身为清末湖广总督张之洞创立的自强学堂，1928年，更名为“国立武汉大学”。 武汉大学濒临东湖，环抱珞珈山，校园内绿树成荫，中西合璧的宫殿式建筑群古朴典雅，巍峨壮观，一批建筑如宋卿体育馆、樱园老斋舍、图书馆、半山庐等，被列为全国文物重点保护单位，住宿区还有桂园、枫园、樱园、梅园等四大名园。网评武汉大学为中国十大最美高校之一。 古朴的建筑点缀于茂密的树林之间，四季花开不败，走在校园里，花香鸟语。拿一本书，找一个安静的地方，重温青春时光。,5175,027-68755114,http://www.whu.edu.cn,2-3小时,在武汉到武大的公交车很多，乘317、413、515、519、552、564、572、587、591、608、724路在八一路珞珈山下车即可到达。,武汉大学在每年樱花季时期会向外来游客收取20元参观票，其余时间免费。,全天开放,武汉市武昌区珞珈山路16号,武汉大学樱花节
74280630,/poi/1670.html,1670,天津之眼The Yongle Bridge Tientsin Eye,4,天津之眼，其实模仿的是伦敦之眼，夜间的景色很迷人。其实就是一个巨大的摩天轮，一圈下来大概是半个小时，当到达最顶端的时候可以俯瞰天津的夜景，还是很不错的。,2014-11-23 14:20:38,天津之眼坐落在天津市红桥区海河畔，是一座跨河建设、桥轮合一的摩天轮，兼具观光和交通功用。 摩天轮旋转一周所需时间为28分钟，到达最高处时，周边景色一览无余，甚至能看到方圆40公里以内的景致。 可看到方圆40公里以内的景致。 摩天轮转动速度缓慢，并不刺激。你可眼见车辆从两边疾驰而过，别有妙趣。 传说摩天轮上的每个盒子里都装满了幸福。与爱人相偎相依，叫人如何不想把握住此刻的幸福与浪漫。,2656,022-26288830;022-23343557,,28分钟旋转一周,乘34、4、607、611、640、659、673、802、841、849、863、869、878路等公交车在五马路站下即是。,成人70元，包厢票400元（限5人以内单独乘坐）。,9:30-21:30，每周一上午摩天轮例行检修，不对外营业（节假日除外）,天津市河北区五马路永乐桥,
74280630,/poi/1669.html,1669,意大利风情街,5,我们去的时候当时是大晴天，那里有很多拍婚纱照的年轻人，这就说明了这个地方的独特，很具欧洲风情，当时去的时候是大概早上10点多钟，没有什么人，想必晚上非常繁华。,2014-11-23 14:22:34,意大利风情街是意大利本土之外面积最大的意大利建筑群，近年天津最热门的景区之一，地方不大，却值得走走逛逛，很多拍婚纱照的在此选景。 因欧式风情与名人古宅的相间融合，漫步其中，仿佛置身国外，又有深厚的文化底蕴包围。 在意大利老租界里，还有梁启超的饮冰室、曹禺故居、意大利兵营旧址等。  不少电影如《南京！南京！》《非常完美》也曾在此拍摄。,3675,022-24454471;022-24466187,,1-2小时,乘5、8、27、634、638、638区间、639、645、645区间、663、672、676、 802、806、806区间、832、836、905、961路等公交车可直达。,免费,全天,天津市河北区自由道25号（海河沿岸）,
74280630,/poi/4992.html,4992,西开教堂,5,虽然我不是基督徒，但是对于基督教堂非常好奇。所以天津一行就到了西开教堂一探究竟，这里还真没让我失望，教堂内部的陈设很是炫目，里面还有礼拜的人们，安静肃穆，非常虔诚！,2014-11-23 14:27:36,西开教堂是天津市最大的天主教堂，也是天主教天津教区主教座堂。 整体建筑呈“品”字形。楼座以黄、红花砖砌成，上砌翠绿色圆肚型尖顶，檐下为半圆形拱窗。正厅为三通廊式。 教堂每日早晨举行宗教活动。逢星期日及天主教节日，早晚皆有宗教活动。 走出西开教堂便是国际风情街，散布其间大大小小的咖啡厅、西餐厅，很有小资味道。,1738,022-81319395;022-27811929,,1小时,乘35、50、606、631、632、641、643等路公交车在滨江道（国际商场）站下车。,免费,（弥撒时间）平日6:00和7:30各一台；主日6:00、7:30、10:00、11:30、15:00和19:00各一台，其中7:30为公弥撒，11:30为英文弥撒,天津市和平区西宁道9号,
74280630,/poi/4377.html,4377,鼓楼(天津),3,这里的门票是免费的，可想而知里面的陈设怎么样。但这里展示了老天津发展的历史，如何从棚户区变成了如今高楼林立的现代化都市的过程。爬到顶楼可以远眺整条古文化街，因为是免费的，去看一下也无妨。,2014-11-23 14:30:03,是天津旧城标志性建筑。位于旧城中心，明永乐二年始筑天津卫城，在旧城中央修建鼓楼。鼓楼下四面开设券门通道，以沟通城内四条大街。以钟代鼓，用以报时。1952年，鼓楼因有碍交通被拆除。如今所见为近年新建的，但玩点不大。,313,022-27273443,,一小时,乘611直通车（空调）在鼓楼商业街站下车或乘便民61、15、161、657路等公交车及地铁2号线在鼓楼站下车步行可达,27.00元（不包含敲钟费用） 钟鼓楼联票40.00元/人,04月01日~10月25日：08:30~22:00 10月26日~03月31日：08:30~17:00,天津市南开区海河上狮子林桥的西面,
74280630,/poi/11297.html,11297,绿渊潭,5,不知道为什么，来长白山，我印象深刻的当然是天池，但这个叫绿渊潭的地方让我至今难忘，逢人必荐！被这里恬静、幽远、与世隔绝的氛围深深感染，那一潭绿绿的水，让人难以忘怀，圣洁至极！,2014-11-23 14:35:01,绿渊潭位于长白山北坡景区，因池水碧绿深窘而得名。绿渊潭瀑布飞流直下，最高落差达26米，瀑水落于巨石而四渐，而后流入深潭。每逢雾起，潭上水雾弥漫，与高山岳桦、旷古巨石浑然而一体，美不胜收，恰似人间仙境，有“小九寨”之称。,1171,,,半小时,景点位于长白山景区内，到达长白山的路线： 飞机：坐飞机直接到长白山机场最快速，机场位于松江河镇东南，距西坡景区不远； 火车：长春每天下午两点半有一班火车可到松江河镇（约13个小时）和二道白河镇（即“白河站”，约15个小时），沈阳每天有三班列车发往松江河镇（约12个小时）和二道白河镇（即“白河站”，约14个小时）； 汽车：长春市内黄河路的长途客运中心每天有班车发往二道白河镇（约5.5小时车程），卫星广场南面的高速公路客运站有车发往松江河镇（约4.5小时车程），但两者车次都很少，一般早上8点都有一班车。延吉市客运南站每天有长白山一日游的大巴直达长白山天池北坡景区，早上5:30发车，单程票价约55元，车程约4个多小时； 包车：松江河镇和二道白河镇都有出租车，一般从镇内打车至火车站都是10元。也可以包出租车去景区，一般可议价但不打表，从松江河-西坡景区，费用约140-150元每车，需半个多小时路程 景区内的交通： 目前长白山的北坡、西坡、南坡三个景区都可以到达天池： 长白山北坡景区内：可乘坐倒站车（80元），是专门用于登主峰看天池的； 长白山西坡景区内：可乘环保车（85元），每20分钟一班； 长白山南坡景区内：可乘环保车（85元），到达山顶后停留30分钟后原车返回,门票包含在长白山景区通票中,北坡景区6:30-16:00,长白山北坡岳桦林景观带内,
74280630,/poi/420.html,420,露西亚西餐厅(头道街店),5,我当时去的就是这家俄式西餐厅。我并非吃货，对吃的东西兴趣不大，但我觉得这家餐厅的食物还不错哦，价格也很划算。不得不说的就是这家餐厅的氛围和陈设，非常具历史文化气息，陈设大多是俄侨妮娜留下的家具，还有很多是来这里的客人赠送的（日本客人赠送的居多）。被这里妮娜的故事深深感动，被这里的安静美好所吸引！,2014-11-23 14:41:18,,,,,,,,,,
74280630,/poi/87950.html,87950,宽窄巷子,5,这里是成都人文化生活的代表，在这里可以感受成都的慢生活和茶文化。大大小小别致的小店，安静美好的茶馆都让人感受到了成都人的幸福的慢生活。,2014-11-23 15:01:07,号称“最成都”的地方，也是游客最爱流连之处。这个由宽巷子、窄巷子、井巷子组成的步行街，实是清朝古街道。尽管如今汇聚众多咖啡馆、餐厅及商店，游走其中，你依然能体验到挖耳朵、变脸、喝茶、耍酒等成都休闲生活。 宽巷子值得一看的是11号的百年老宅——恺庐，内院茶馆很安静，价格公道；窄巷子则是老成都院落代表的展示区，著名酒吧白夜就坐落在此。不过宽窄巷子始终人流熙攘，想寻静谧处，不妨往北面走走，那有几条绿茵深深的小街，泡桐树街、支矶石街以及小通巷等，会让你心绪安宁。,19389,028-66355355,http://www.kzxz.com.cn/,3-4小时,乘地铁2号线至人民公园站下车，步行400 米即可到达。乘地铁4号线至宽窄巷子站下车即是；乘62、70、93、126 环线、127、163、340 路公交车至宽窄巷子站下车,免费,全天,四川省成都市青羊区同仁路以东长顺街以西,
31954953,/poi/7125.html,7125,黄则和花生汤(鼓浪屿店),5,鸡爪超好吃，超级烂，入口即化。花生汤对一个北方人来说太甜了,2016-02-16 15:34:05,,,,,,,,,,
31954953,/poi/22871.html,22871,八婆婆烧仙草(龙头路店),5,挺便宜还挺好喝，以为不怎么样，谁知道蜂蜜味的超好喝,2016-02-16 15:33:07,,,,,,,,,,
31954953,/poi/5426285.html,5426285,黄鹤楼Yellow Crane Tower,3,去的时候赶上重新修缮，并没有看到全貌，就上到三楼,2016-02-16 15:22:49,黄鹤楼位于武昌江畔，紧邻长江大桥，有“天下江山第一楼”的美誉，是地理上武汉的中心。因为建于蛇山之上，再加上5层的楼高，以及周边无高层建筑，所以这里的视野非常开阔。除了黄鹤楼之外，景区内还有大量的石碑、石刻，都是历代名人的真迹。这里绿化非常高，不行在山间非常惬意。每天在落梅轩还有楚地特色的编钟表演，时间分别为10:00，11:40，14:20，16:00，表演免费。,4314,027-88871394,,2小时,电车1路、电车4路，公交10、61、64、108、401、402、411、413、584等路到黄鹤楼站下。或者乘车在阅马场下车（参见首义广场交通）,A.免票政策：儿童在1.2m以下免票，70周岁以上的老人（凭身份证或老年证）免票，现役军人（凭现役军人有效证件）免票、残疾人（凭残疾人证）免票 B.优惠政策：身高1.2-1.4m购儿童票40元，60-69岁的老人（凭身份证或老年证）预订老年票40元，（本科及以下）持有效学生证购票40元,07:30—18:30(4月1日至10月31日)；07:30—17:30(11月1日至3月31日,湖北省武汉市武昌蛇山,
31954953,/poi/6762181.html,6762181,三年二班(曾厝垵店),3,桌子有点小脏，很逗，点菜是按课程的,2016-02-16 15:32:21,,,,,,,,,,
31954953,/poi/8833292.html,8833292,峻极峰,5,从小路上去的，人很少，跟从大路上去风光不同，但更漂亮,2016-02-16 15:27:29,为太室山最高峰，海拔1440米介 绍 太室山上嶙峋怪石、奇峰峭壁，国家地质公园的称号是名符其实的，峻极峰的景色与众不同而异常吸引人的。沿着整齐的台阶向上，路会一下子变得陡峭起来，爬过几段非常陡峭的山路之后就来到了峻极宫。峻极宫背依嵩山峭壁，气势非凡。继续向上，一直爬到白云深处，峭壁之颠，三个多小时即可登顶，这时你就可以体会“嵩高峻极”的感觉了。如果遇到大雾弥漫，不要说峻极了，路都会看不见，可以享受一下仙人的待遇。,68,,,,,,,郑州市登封市太室山巅,
