id,aid,aname,atype,dist
5812,6222,珞珈山,3,700米
5812,5778,武汉大学樱花节,3,1.3公里
5812,5789,宝通禅寺,3,2公里
5812,6206,武汉理工大学,3,2.1公里
5812,5690787,华中师范大学,3,2.1公里
5812,7047467,武汉杜莎夫人蜡像馆,3,2.6公里
5812,6221,湖北省博物馆,3,2.8公里
5812,5774,东湖,3,3公里
5812,8078128,广埠屯地铁站,6,1.5公里
5812,8078127,街道口地铁站,6,1.5公里
5812,8078126,宝通寺地铁站,6,2.3公里
5812,8078129,虎泉地铁站,6,2.7公里
5812,8078124,洪山广场地铁站,6,2.9公里
5812,8078132,楚河汉街地铁站,6,3公里
5812,8078125,中南路地铁站,6,3公里
5803,31630,晴川阁,3,900米
5803,5426285,黄鹤楼,3,1.4公里
5803,35614,首义文化公园,3,1.8公里
5803,5807,武昌起义军政府旧址,3,1.8公里
5803,6163,昙华林,3,1.9公里
5803,35620,汉阳造艺术区,3,2.2公里
5803,5805,古琴台,3,2.6公里
5803,5434154,归元寺,3,2.8公里
5803,8078119,积玉桥地铁站,6,2.4公里
5803,8078121,螃蟹岬地铁站,6,2.8公里
6221,5684044,湖北美术馆,3,300米
6221,35615,落雁岛,3,1.1公里
6221,31646,东湖海洋世界,3,1.7公里
6221,7047467,武汉杜莎夫人蜡像馆,3,2公里
6221,5774,东湖,3,2.3公里
6221,3314976,汉街,3,2.4公里
6221,3270405,武汉市东湖风景区,3,2.5公里
6221,5812,武汉大学,3,2.8公里
6221,8078134,东亭地铁站,6,1.4公里
6221,8078133,青鱼嘴地铁站,6,1.5公里
6221,8078135,岳家嘴地铁站,6,1.7公里
6221,8078136,铁机路地铁站,6,2.4公里
6221,8078132,楚河汉街地铁站,6,2.5公里
5426285,5807,武昌起义军政府旧址,3,500米
5426285,35614,首义文化公园,3,500米
5426285,6163,昙华林,3,1.1公里
5426285,5803,武汉长江大桥,3,1.4公里
5426285,31630,晴川阁,3,2.1公里
5426285,35812,铁门关,3,2.2公里
5426285,3303451,龟山,3,2.8公里
5426285,35633,晴川桥,3,2.9公里
5426285,8078121,螃蟹岬地铁站,6,1.7公里
5426285,8078119,积玉桥地铁站,6,2公里
5426285,8078146,武昌火车地铁站,6,2.1公里
5426285,5688884,武昌火车站,6,2.3公里
5426285,8078123,小龟山地铁站,6,2.7公里
5426285,8078144,梅苑小区地铁站,6,2.8公里
5774,3270405,武汉市东湖风景区,3,1.5公里
5774,5773,梅园,3,1.8公里
5774,5811,磨山景区,3,2公里
5774,35616,东湖樱花园,3,2.3公里
5774,6221,湖北省博物馆,3,2.3公里
5774,35615,落雁岛,3,2.4公里
5774,5684044,湖北美术馆,3,2.5公里
5774,5812,武汉大学,3,3公里
6163,5426285,黄鹤楼,3,1.1公里
6163,5807,武昌起义军政府旧址,3,1.2公里
6163,35614,首义文化公园,3,1.4公里
6163,5803,武汉长江大桥,3,1.9公里
6163,31630,晴川阁,3,2.3公里
6163,35812,铁门关,3,2.3公里
6163,35633,晴川桥,3,2.8公里
6163,6630975,江汉关大楼,3,2.8公里
6163,8078121,螃蟹岬地铁站,6,900米
6163,8078119,积玉桥地铁站,6,1公里
6163,8078123,小龟山地铁站,6,2公里
6163,8078146,武昌火车地铁站,6,2.6公里
6163,5688884,武昌火车站,6,2.8公里
6163,8078124,洪山广场地铁站,6,2.8公里
6163,8078125,中南路地铁站,6,2.9公里
6163,8078144,梅苑小区地铁站,6,3公里
35611,6630969,吉庆街,3,400米
35611,6243,武汉美术馆,3,500米
35611,35815,黎黄陂路街头博物馆,3,1.1公里
35611,6630975,江汉关大楼,3,1.2公里
35611,6218,中山公园,3,1.7公里
35611,35633,晴川桥,3,2.2公里
35611,3302431,武昌江滩,3,2.8公里
35611,5766,解放公园,3,3公里
35611,8078067,循礼门地铁站,6,200米
35611,8078118,江汉路地铁站,6,600米
35611,8078086,友谊路地铁站,6,1公里
35611,8078066,大智路地铁站,6,1.2公里
35611,8078117,中山公园地铁站,6,1.3公里
35611,8078087,利济北路地铁站,6,1.9公里
35611,8078064,三阳路地铁站,6,2.2公里
35611,8078116,青年路地铁站,6,2.2公里
5778,5812,武汉大学,3,1.3公里
5778,5689312,武汉大学信息学部,3,1.5公里
5778,6222,珞珈山,3,1.7公里
5778,5690787,华中师范大学,3,1.8公里
5778,6206,武汉理工大学,3,2.5公里
5778,5773,梅园,3,2.8公里
5778,7392100,中国地质大学,3,2.8公里
5778,5789,宝通禅寺,3,3公里
5778,8078128,广埠屯地铁站,6,1.2公里
5778,8078129,虎泉地铁站,6,1.9公里
5778,8078127,街道口地铁站,6,2.1公里
5778,8078130,杨家湾地铁站,6,2.7公里
5811,35616,东湖樱花园,3,300米
5811,195896,东湖磨山,3,500米
5811,5773,梅园,3,700米
5811,3313345,东湖楚城,3,1.2公里
5811,5429419,武汉植物园,3,1.4公里
5811,35617,楚天台,3,1.5公里
5811,5774,东湖,3,2公里
5811,3270405,武汉市东湖风景区,3,2.8公里
5807,35614,首义文化公园,3,200米
5807,5426285,黄鹤楼,3,500米
5807,6163,昙华林,3,1.2公里
5807,6210,长春观,3,1.3公里
5807,5803,武汉长江大桥,3,1.8公里
5807,31613,大禹神话园,3,2.6公里
5807,31630,晴川阁,3,2.6公里
5807,35812,铁门关,3,2.6公里
5807,8078146,武昌火车地铁站,6,1.6公里
5807,8078121,螃蟹岬地铁站,6,1.6公里
5807,5688884,武昌火车站,6,1.9公里
5807,8078119,积玉桥地铁站,6,2.1公里
5807,8078144,梅苑小区地铁站,6,2.3公里
5807,8078123,小龟山地铁站,6,2.4公里
5807,8078125,中南路地铁站,6,2.6公里
5807,8078124,洪山广场地铁站,6,2.9公里
5798,5768,武汉园林,3,1.3公里
5798,5766,解放公园,3,1.4公里
5798,35641,长春街,3,1.4公里
5798,7386285,抗洪纪念碑,3,1.6公里
5798,6153,汉口江滩,3,1.9公里
5798,9926,武汉长江二桥,3,2.2公里
5798,31628,武汉体育学院,3,2.8公里
5798,3314513,大智门火车站,3,2.9公里
5798,8078061,头道街地铁站,6,700米
5798,8078063,黄浦路地铁站,6,1.2公里
5798,8078059,二七路地铁站,6,1.5公里
5798,8078024,徐州新村地铁站,6,2.1公里
5798,8078064,三阳路地铁站,6,2.2公里
6153,7386285,抗洪纪念碑,3,800米
6153,5798,古德寺,3,1.9公里
6153,9926,武汉长江二桥,3,2.2公里
6153,35641,长春街,3,2.4公里
6153,5768,武汉园林,3,2.8公里
6153,6630965,江滩公园,3,3公里
6153,8078059,二七路地铁站,6,600米
6153,8078024,徐州新村地铁站,6,800米
6153,8078061,头道街地铁站,6,1.3公里
6153,8078023,丹水池地铁站,6,2.2公里
6153,8078063,黄浦路地铁站,6,2.4公里
5434154,5805,古琴台,3,900米
5434154,35620,汉阳造艺术区,3,1.3公里
5434154,3359887,武汉动物园,3,1.5公里
5434154,3303451,龟山,3,1.9公里
5434154,31613,大禹神话园,3,2.5公里
5434154,31630,晴川阁,3,2.6公里
5434154,35812,铁门关,3,2.7公里
5434154,5803,武汉长江大桥,3,2.8公里
31630,5803,武汉长江大桥,3,900米
31630,35620,汉阳造艺术区,3,1.6公里
31630,5426285,黄鹤楼,3,2.1公里
31630,5805,古琴台,3,2.1公里
31630,6163,昙华林,3,2.3公里
31630,5807,武昌起义军政府旧址,3,2.6公里
31630,5434154,归元寺,3,2.6公里
31630,6630975,江汉关大楼,3,2.6公里
31630,8078119,积玉桥地铁站,6,2.4公里
31630,8078118,江汉路地铁站,6,2.8公里
31630,8078087,利济北路地铁站,6,2.8公里
31630,8078086,友谊路地铁站,6,2.9公里
31630,8078088,崇仁路地铁站,6,3公里
35616,5811,磨山景区,3,300米
35616,195896,东湖磨山,3,700米
35616,3312159,朱碑亭,3,800米
35616,5773,梅园,3,900米
35616,3313345,东湖楚城,3,1.1公里
35616,5429419,武汉植物园,3,1.1公里
35616,35617,楚天台,3,1.3公里
35616,5774,东湖,3,2.3公里
5785,6930442,意大利风情街,3,800米
5785,9320843,光谷多莫大教堂,3,900米
5785,5427484,中国地质大学博物馆,3,1.4公里
5785,5427303,东湖小天池CS野战,3,1.4公里
5785,7392100,中国地质大学,3,1.6公里
5785,35607,恐龙化石博物馆,3,1.7公里
5785,7392202,荷兰风情园,3,2.2公里
5785,35643,中南民族大学,3,2.9公里
5785,8078131,光谷广场地铁站,6,1.6公里
5785,8078130,杨家湾地铁站,6,3公里
3302431,6239,宋庆龄旧居,3,1.6公里
3302431,9008233,黎黄陂路,3,1.9公里
3302431,6630975,江汉关大楼,3,1.9公里
3302431,35815,黎黄陂路街头博物馆,3,2.1公里
3302431,6243,武汉美术馆,3,2.4公里
3302431,6630969,吉庆街,3,2.6公里
3302431,9926,武汉长江二桥,3,2.8公里
3302431,35611,江汉路,3,2.8公里
3302431,8078119,积玉桥地铁站,6,2.2公里
3302431,8078118,江汉路地铁站,6,2.4公里
3302431,8078066,大智路地铁站,6,2.5公里
3302431,8078064,三阳路地铁站,6,2.6公里
3302431,8078121,螃蟹岬地铁站,6,2.9公里
3302431,8078067,循礼门地铁站,6,3公里
6630975,6630969,吉庆街,3,1.2公里
6630975,35611,江汉路,3,1.2公里
6630975,35815,黎黄陂路街头博物馆,3,1.4公里
6630975,35633,晴川桥,3,1.9公里
6630975,3302431,武昌江滩,3,1.9公里
6630975,31630,晴川阁,3,2.6公里
6630975,6218,中山公园,3,2.8公里
6630975,6163,昙华林,3,2.8公里
6630975,8078118,江汉路地铁站,6,700米
6630975,8078067,循礼门地铁站,6,1.4公里
6630975,8078066,大智路地铁站,6,1.8公里
6630975,8078086,友谊路地铁站,6,1.9公里
6630975,8078119,积玉桥地铁站,6,2公里
6630975,8078117,中山公园地铁站,6,2.3公里
6630975,8078064,三阳路地铁站,6,2.6公里
6630975,8078087,利济北路地铁站,6,2.6公里
6222,5688520,武汉大学-图书馆,3,500米
6222,5689312,武汉大学信息学部,3,500米
6222,5812,武汉大学,3,700米
6222,5789,宝通禅寺,3,1.3公里
6222,6206,武汉理工大学,3,1.4公里
6222,5778,武汉大学樱花节,3,1.7公里
6222,5690787,华中师范大学,3,1.7公里
6222,7047467,武汉杜莎夫人蜡像馆,3,2.6公里
6222,8078127,街道口地铁站,6,800米
6222,8078128,广埠屯地铁站,6,1.3公里
6222,8078126,宝通寺地铁站,6,1.6公里
6222,8078125,中南路地铁站,6,2.4公里
6222,8078124,洪山广场地铁站,6,2.5公里
